Q19475,isotope of platinum
Q19529,isotope of iridium
Q24638,isotope of caesium
Q28223,isotope of thallium
Q28232,isotope of rhenium
Q32385,isotope of phosphorus
Q221118,isotope of berkelium
Q221276,isotope of chromium
Q225056,isotope of technetium
Q255478,isotope of scandium
Q377262,isotope of radium
Q382952,isotope of calcium
Q385457,isotope of darmstadtium
Q463820,isotope of beryllium
Q464031,isotope of bohrium
Q464352,isotope of boron
Q465048,isotope of dubnium
Q465498,isotope of fermium
Q465625,isotope of flerovium
Q466147,isotope of hafnium
Q466374,isotope of hassium
Q466603,isotope of hydrogen
Q466737,isotope of holmium
Q466960,isotope of helium
Q467791,isotope of chlorine
Q467868,isotope of copernicium
Q468008,isotope of potassium
Q468081,isotope of sulfur
Q468340,isotope of curium
Q468409,isotope of lawrencium
Q468595,isotope of livermorium
Q468718,isotope of lithium
Q468882,isotope of magnesium
Q469670,isotope of manganese
Q469738,isotope of meitnerium
Q469744,isotope of mendelevium
Q469900,isotope of molybdenum
Q470437,isotope of neon
Q470479,isotope of nitrogen
Q470491,isotope of nobelium
Q470561,isotope of sodium
Q471223,isotope of roentgenium
Q471616,isotope of seaborgium
Q471670,isotope of silicon
Q471790,isotope of carbon
Q472211,isotope of titanium
Q477795,isotope of vanadium
Q549728,isotope of praseodymium
Q549744,isotope of neodymium
Q549767,isotope of samarium
Q549775,isotope of tungsten
Q549792,isotope of europium
Q549805,isotope of gadolinium
Q550394,isotope of promethium
Q558574,isotope of dysprosium
Q558892,isotope of terbium
Q559290,isotope of lanthanum
Q606986,isotope of xenon
Q618142,isotope of ytterbium
Q618193,isotope of thulium
Q618198,isotope of erbium
Q618200,isotope of lutetium
Q630055,isotope of nihonium
Q687521,isotope of tin
Q727373,isotope of nickel
Q736812,isotope of antimony
Q776396,isotope of argon
Q784823,isotope of aluminium
Q784903,isotope of americium
Q785082,isotope of einsteinium
Q785466,isotope of indium
Q785632,isotope of moscovium
Q785635,isotope of tennessine
Q785643,isotope of oxygen
Q1073467,isotope of oganesson
Q1088652,isotope of californium
Q1190172,isotope of yttrium
Q1190176,isotope of zirconium
Q1190183,isotope of niobium
Q1190207,isotope of osmium
Q1190435,isotope of tellurium
Q1193125,isotope of fluorine
Q1201493,isotope of iron
Q1208453,isotope of iodine
Q1320863,isotope of rhodium
Q1321050,isotope of rubidium
Q1321353,isotope of mercury
Q1321542,isotope of cadmium
Q1325627,isotope of strontium
Q1330776,isotope of gold
Q1369686,isotope of uranium
Q1372202,isotope of cobalt
Q1372372,isotope of bismuth
Q1372384,isotope of lead
Q1373385,isotope of silver
Q1373439,isotope of krypton
Q1374075,isotope of palladium
Q1374122,isotope of ruthenium
Q1377841,isotope of cerium
Q1828459,isotope of polonium
Q1895097,isotope of thorium
Q2044538,isotope of selenium
Q2187969,isotope of gallium
Q2217740,isotope of astatine
Q2220795,isotope of bromine
Q2288723,isotope of germanium
Q2319551,isotope of rutherfordium
Q2334543,isotope of radon
Q2348563,isotope of plutonium
Q2352365,isotope of francium
Q2393673,isotope of neptunium
Q2417724,isotope of actinium
Q2498986,isotope of protactinium
Q2500708,isotope of tantalum
Q2522813,isotope of arsenic
Q2529274,isotope of copper
Q2555200,isotope of barium
Q2991378,isotope of zinc
Q12525553,isotope of neutronium
Q12573175,isotope of ununennium
